date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:22	8152/8152	---M--	200	added ('OK')	image/jpeg	etag:%221fd8-56ae7eb94094a%22	http://localhost/wp-content/uploads/2018/04/Polyadditiondoc-300x212.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Polyadditiondoc-300x212.jpg	(from http://localhost/weiteres/)
22:47:23	11550/11550	---M--	200	added ('OK')	image/jpeg	etag:%222d1e-56ae7c720a3d9%22	http://localhost/wp-content/uploads/2018/04/Polykondensationdoc-300x212.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Polykondensationdoc-300x212.jpg	(from http://localhost/weiteres/)
22:47:23	11835/11835	---M--	200	added ('OK')	image/jpeg	etag:%222e3b-56aee013231b4%22	http://localhost/wp-content/uploads/2018/04/Polymerisationdoc-1-300x286.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Polymerisationdoc-1-300x286.jpg	(from http://localhost/weiteres/)
22:47:24	1212289/1212289	---M--	200	added ('OK')	image/jpeg	etag:%22127f81-568c73de5b53d%22	http://localhost/wp-content/uploads/2018/04/platz_2_-bredemeier_sabina_0.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/platz_2_-bredemeier_sabina_0.jpg	(from http://localhost/)
22:47:26	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:23%20GMT	http://localhost/?p=123	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/indexb8c4.html	(from http://localhost/sammelaktion/)
22:47:27	2183/2183	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:22%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fsammelaktion%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed4a7c.json	(from http://localhost/sammelaktion/)
22:47:29	2280/2280	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:27%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fsammelaktion%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed1c16	(from http://localhost/sammelaktion/)
22:47:31	9571/9571	---M--	200	added ('OK')	image/jpeg	etag:%222563-569e478f9a1f0%22	http://localhost/wp-content/uploads/2018/04/Quadrat-A-300x225.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Quadrat-A-300x225.jpg	(from http://localhost/sammelaktion/)
22:47:31	10307/10307	---M--	200	added ('OK')	image/jpeg	etag:%222843-569e4731e97fa%22	http://localhost/wp-content/uploads/2018/04/Quadrat-B-2-300x225.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Quadrat-B-2-300x225.jpg	(from http://localhost/sammelaktion/)
22:47:31	49554/49554	---M--	200	added ('OK')	image/png	etag:%22c192-56a96db17ceb8%22	http://localhost/wp-content/uploads/2018/04/Karte-4-212x300.png	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Karte-4-212x300.png	(from http://localhost/sammelaktion/)
22:47:31	9996/9996	---M--	200	added ('OK')	image/jpeg	etag:%22270c-569e46a0f42d2%22	http://localhost/wp-content/uploads/2018/04/Quadrat-C-2-300x225.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Quadrat-C-2-300x225.jpg	(from http://localhost/sammelaktion/)
22:47:34	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:31%20GMT	http://localhost/?p=260	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index8e1b.html	(from http://localhost/ergebnisse/)
22:47:35	2173/2173	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:31%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fergebnisse%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed5e38.json	(from http://localhost/ergebnisse/)
22:47:38	2270/2270	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:35%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fergebnisse%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed93c4	(from http://localhost/ergebnisse/)
22:47:42	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:38%20GMT	http://localhost/?p=107	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index5a24.html	(from http://localhost/politik/)
22:47:42	2158/2158	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:38%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fpolitik%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed0838.json	(from http://localhost/politik/)
22:47:47	2255/2255	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:42%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fpolitik%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embeddb0a	(from http://localhost/politik/)
22:47:49	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:47%20GMT	http://localhost/?p=108	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index460d.html	(from http://localhost/interview/)
22:47:49	2168/2168	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:47%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Finterview%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed79c2.json	(from http://localhost/interview/)
22:47:51	2265/2265	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:49%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Finterview%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embeddaf3	(from http://localhost/interview/)
22:47:54	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:51%20GMT	http://localhost/?p=109	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/indexe887.html	(from http://localhost/ueber-uns/)
22:47:54	2180/2180	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:51%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fueber-uns%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed4024.json	(from http://localhost/ueber-uns/)
22:47:57	2277/2277	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:54%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fueber-uns%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed869b	(from http://localhost/ueber-uns/)
22:48:03	14133/14133	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:47:59%20GMT	http://localhost/category/allgemein/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/category/allgemein/index.html	(from http://localhost/2018/03/)
22:48:03	17171/17171	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:47:59%20GMT	http://localhost/2018/03/31/beitrag-1/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/2018/03/31/beitrag-1/index.html	(from http://localhost/2018/03/)
22:48:03	14123/14123	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:47:59%20GMT	http://localhost/author/pia/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/author/pia/index.html	(from http://localhost/2018/03/)
22:48:08	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:48:04%20GMT	http://localhost/?p=102	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/indexc5eb.html	(from http://localhost/2018/03/31/beitrag-1/)
22:48:08	806/806	---M--	200	added ('OK')	application/rss+xml	etag:%221ff04dbed05e6fe2a210aaba79defde7%22	http://localhost/2018/03/31/beitrag-1/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/2018/03/31/beitrag-1/feed/index.html	(from http://localhost/2018/03/31/beitrag-1/)
22:48:08	2196/2196	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:48:04%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F2018%2F03%2F31%2Fbeitrag-1%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed0b41.json	(from http://localhost/2018/03/31/beitrag-1/)
22:48:11	2287/2287	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:48:08%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F2018%2F03%2F31%2Fbeitrag-1%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed969b	(from http://localhost/2018/03/31/beitrag-1/)
22:48:11	1078/1078	---M--	200	added ('OK')	application/javascript	etag:%22436-5657ec98ed11b%22	http://localhost/wp-includes/js/comment-reply.min.js?ver=4.9.5	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-includes/js/comment-reply.min55fe.js	(from http://localhost/2018/03/31/beitrag-1/)
22:48:14	3316/3316	---M--	200	added ('OK')	application/rss+xml	etag:%22800aa31c15cf30f28b640933b148400c%22	http://localhost/category/allgemein/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/category/allgemein/feed/index.html	(from http://localhost/category/allgemein/)
22:48:14	3302/3302	---M--	200	added ('OK')	application/rss+xml	etag:%22800aa31c15cf30f28b640933b148400c%22	http://localhost/author/pia/feed/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/author/pia/feed/index.html	(from http://localhost/author/pia/)
